"filename", "language", "Makefile", "C++", "comment", "blank", "total"
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/CFD_Solver.cpp", "C++", 0, 209, 42, 70, 321
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/CanteraCombustion.cpp", "C++", 0, 7, 4, 5, 16
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/Memory.cpp", "C++", 0, 19, 6, 13, 38
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/Mesher.cpp", "C++", 0, 67, 15, 29, 111
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/Parallel.cpp", "C++", 0, 105, 11, 36, 152
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/PostProcess.cpp", "C++", 0, 59, 7, 20, 86
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/ReadData.cpp", "C++", 0, 71, 5, 34, 110
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/CppCodes/Species_Solver.cpp", "C++", 0, 27, 7, 13, 47
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/CFD_Solver.h", "C++", 0, 56, 13, 25, 94
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/CanteraCombustion.h", "C++", 0, 16, 3, 7, 26
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/Memory.h", "C++", 0, 13, 6, 8, 27
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/Mesher.h", "C++", 0, 32, 10, 15, 57
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/Parallel.h", "C++", 0, 26, 8, 15, 49
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/PostProcess.h", "C++", 0, 21, 8, 11, 40
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/ReadData.h", "C++", 0, 22, 4, 14, 40
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/HeaderCodes/Species_Solver.h", "C++", 0, 23, 10, 14, 47
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/Main_SpeciesTransport.cpp", "C++", 0, 31, 3, 16, 50
"/home/sergiogus/Documents/GitHub/Combustion/SpeciesTransport/Codes/Makefile", "Makefile", 19, 0, 8, 10, 37
"Total", "-", 19, 804, 170, 355, 1348
